项目名,卡片标题,年份,赛道与奖项,学生年级,主题标签,一句话钩子,用户是谁,解决的问题,AI怎么介入,学生可改造项目,6节课Demo目标,使用的AI能力,最终展示材料,课堂提问,想一想,项目小贴士,难度,社会影响分,技术难度分,信息完整度,来源链接,是否课堂展示,展示排序,封面图路径,封面图描述,封面图来源,封面图授权,封面图状态,封面图/视觉提示
HyperSleep,用睡眠证明换回刷手机权限的习惯守护器,2026,Product Hunt 2026-06-12 日榜热门项目,初中 / 高中可改造,"健康管理, 数字健康, 睡眠习惯, 手机管理, 行为设计",如果手机应用要等你真的睡够了才解锁，晚睡刷短视频会不会变少？,容易睡前刷手机、想改善作息的学生、家长和数字健康工具用户,很多人知道应该早点睡，但靠意志力很难停止刷手机；普通屏幕时间限制容易被手动关闭。,公开 Product Hunt 与官网说明 HyperSleep 会阻止社交媒体直到用户实际睡过；学生版可结合睡眠记录、手机使用时间和自评情绪，让 AI 给出作息建议和风险提醒。,班级睡眠挑战、晚自习后手机使用提醒、运动队恢复监测、青少年数字健康自评工具。,做一个“睡眠换积分”原型：学生输入模拟睡眠和手机使用数据，AI 生成作息建议，达到目标才解锁娱乐任务。,行为数据分析、规则引擎、个性化建议、提醒文案生成、趋势可视化,睡眠挑战仪表盘、解锁规则说明、模拟数据集、AI 建议卡、数字健康倡议海报,用技术限制手机使用是帮助自律，还是过度控制？学生应该能否自己调整规则？,你愿意用什么证明自己真的休息了：睡眠时长、第二天精神状态，还是连续一周的趋势？,课堂 Demo 不需要接真实睡眠设备，先用表单和模拟数据验证规则与反馈是否合理。,中,5,3,高,https://www.producthunt.com/products/hypersleep；https://hypersleep.app/；https://play.google.com/store/apps/details?id=com.sangat.hypersleep,1,36,/images/cards/hypersleep.png,"HyperSleep 官网首屏截图，展示 Sleep more, Scroll less 的睡眠与社交媒体限制主张",项目官网截图：https://hypersleep.app/,公开项目官网截图，课堂引用；需避免商用传播,已确认,深色星空背景和月亮图形，强调睡眠管理与减少刷手机
Intelligent Nose – AI for honeytype detecting,用“电子鼻”闻出蜂蜜种类的 AI 食品检测站,2025,AI in STEM Challenge 2025（Science on Stage Europe）第一名,初中 / 高中可改造,"食品安全, 农业科技, 传感器, 机器学习, 可持续",如果一只便宜的电子鼻就能判断蜂蜜类型，还需要每次把样品送去昂贵实验室吗？,养蜂社团、蜂农、食品检测实验室、学校科学项目小组和购买蜂蜜的消费者,蜂蜜种类和品质检测通常依赖实验室分析，成本高、等待时间长，小规模养蜂者和学校实验项目很难频繁检测。,官方资料显示，德国 Soest 学生团队用 BME688 气体传感器采集蜂蜜挥发性气味数据，并训练 AI 模型区分不同蜂蜜类型；海报称模型在四类蜂蜜上达到 99.8% 准确率。,把蜂蜜改成茶叶、咖啡豆、土壤湿度/气味、教室空气质量或水果成熟度，做一个“低成本传感器 + AI 分类”实验站。,用模拟或公开传感器数据做一个分类仪表盘：上传样本数据，训练模型，展示预测类别、置信度和混淆矩阵。,传感器数据分类、机器学习模型训练、特征提取、准确率评估、数据可视化,传感器样本数据表、分类模型结果页、混淆矩阵、实验海报、真实/模拟样本演示视频,如果样本数量很少、温度湿度变化很大，AI 还会不会可靠？怎样证明它不是只记住了训练样本？,你身边有没有一种“靠闻、看、摸经验判断”的东西，可以被数据化成 AI 小检测器？,课堂版可以先不用真实硬件，用 CSV 模拟传感器数据跑通模型；真正接硬件时要把环境变量和重复采样记录下来。,高,4,5,高,https://www.science-on-stage.eu/news/winners-ai-stem-challenge；https://www.science-on-stage.eu/project/ai-stem-education-and-challenge；https://www.science-on-stage.de/sites/sons-de/files/2025-07/ai-challenge_germany_intelligent-nose_poster.pdf；https://www.youtube.com/watch?v=usZysN59U30,1,37,/images/cards/intelligent-nose.jpg,Science on Stage 官方新闻照片，展示 Intelligent Nose 团队学生在 AI Challenge 获奖展台前合影,官方新闻配图：https://www.science-on-stage.eu/news/winners-ai-stem-challenge,官方公开页面图片，课堂引用；需避免商用传播,已确认,学生团队、比赛证书和展台同框，适合表现“传感器实验变成真实参赛项目”
Predictive AI saves our planet,用 AI 监测非法捕鱼的海洋守护地图,2025,AI in STEM Challenge 2025（Science on Stage Europe）第二名,初中 / 高中可改造,"海洋保护, 可持续发展, 数据监测, 异常检测, 公民科学",如果海上有船在禁区偷偷捕鱼，学生能不能用 AI 提前发现异常？,海洋保护组织、沿海社区、渔业监管人员、环保社团和关心海洋生态的学生,非法捕鱼会破坏生态和合法渔民生计，但海域面积大、人工巡查成本高，很多异常行为难以及时发现。,官方资料显示，英国 Thomas Hardye School 团队研究用 AI 辅助监测来预防或惩处非法捕鱼；学生版可分析船只轨迹、禁渔区、天气和时间等数据，识别可疑模式。,校园周边河道巡护、海滩垃圾热区地图、湖泊水质异常提醒、保护区游客行为统计或“环保事件异常检测”工具。,做一个海洋守护数据地图：导入模拟船只轨迹，标出禁渔区，AI/规则模型识别停留、绕行、夜间活动等异常。,时空数据分析、异常检测、地图可视化、规则模型、风险评分,交互式地图、异常轨迹样例、风险评分说明、环保行动建议卡、项目路演海报,AI 标记“可疑”是否等于真的违法？在环境保护项目里，怎样避免误伤真实用户？,除了海洋，学校附近还有哪些地方适合做“异常行为地图”：垃圾投放点、共享单车、校门口交通？,先用合成轨迹数据做规则和可视化，等逻辑稳定后再接公开地图或开放环境数据。,高,5,5,高,https://www.science-on-stage.eu/news/winners-ai-stem-challenge；https://www.science-on-stage.eu/project/ai-stem-education-and-challenge；https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_united-kingdom_pai-fishing_poster.pdf；https://www.youtube.com/watch?v=ga8sKiRAcBg,1,38,/images/cards/predictive-ai-saves-our-planet.jpg,Science on Stage 官方新闻照片，展示 Predictive AI saves our planet 团队在 AI Challenge 颁奖现场,官方新闻配图：https://www.science-on-stage.eu/news/winners-ai-stem-challenge,官方公开页面图片，课堂引用；需避免商用传播,已确认,学生团队手持证书，适合表现“环保数据项目获得国际评审认可”
Eco Guard – together for clean air,会找污染源的无人机空气质量社区助手,2025,AI in STEM Challenge 2025（Science on Stage Europe）第三名,初中 / 高中可改造,"空气质量, 无人机, 社区治理, 环境监测, 移动应用",空气污染不是一个数字，能不能让无人机和手机 App 帮社区找到污染从哪里来？,社区居民、环保社团、学校科学小组、地方环境志愿者和空气质量敏感人群,空气质量数据常常只有城市级平均值，居民很难知道本社区哪条路、哪片区域或哪个时间段污染更严重。,官方资料显示，波兰 Kobylanka 学生团队制作无人机和移动 App 来分析空气质量、定位污染源并预测威胁；学生版可用传感器或模拟数据生成污染热力图和风险提醒。,校园空气热力图、食堂油烟/操场粉尘观察、上下学交通污染提醒、社区噪声和空气联合监测。,做一个空气质量社区仪表盘：录入不同地点的 PM2.5/温湿度数据，生成地图热力图，AI 给出污染来源假设和行动建议。,环境数据分析、空间热力图、趋势预测、异常提醒、行动建议生成,空气质量地图、采样路线图、传感器数据表、社区建议卡、演示视频,如果数据来自学生采样，采样位置、时间和设备误差会怎样影响结论？,你愿意把校园哪些角落做成空气监测点？它会改变大家走路、运动或开窗的习惯吗？,没有无人机也可以先用手机定位 + 手工采样；重点是设计采样规则和让地图讲清楚问题。,中,5,4,高,https://www.science-on-stage.eu/news/winners-ai-stem-challenge；https://www.science-on-stage.eu/project/ai-stem-education-and-challenge；https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_poland_eco-guard_poster.pdf；https://www.youtube.com/watch?v=YU_jKQegkVk,1,39,/images/cards/eco-guard.jpg,Science on Stage 官方新闻照片，展示 Eco Guard 团队学生在 AI Challenge 颁奖现场,官方新闻配图：https://www.science-on-stage.eu/news/winners-ai-stem-challenge,官方公开页面图片，课堂引用；需避免商用传播,已确认,团队证书和颁奖背景，适合表现社区空气质量项目的竞赛成果
See4me,给视障者的 AI 随身识别与语音导航助手,2025,AI in STEM Challenge 2025（Science on Stage Europe）决赛入围项目,高中可改造,"无障碍, 计算机视觉, 语音反馈, 生活辅助, 边缘设备",一个摄像头加语音反馈，能不能帮看不清的人识别商品、钱币、障碍物和水果新鲜度？,视障人士、低视力老人、无障碍志愿者、特教老师和需要临时视觉辅助的用户,日常购物、辨认钞票、避开障碍物和判断食物新鲜度都高度依赖视觉，视障者需要更便携、更低成本的辅助工具。,官方项目页和海报显示，Türkiye 学生团队用 Raspberry Pi 5、AI 支持的摄像头和听觉反馈，做对象识别、商品信息读取、钱币识别、障碍检测和果蔬新鲜度分析。,校园无障碍识别助手、食堂菜单语音读取、药盒/课本识别器、楼道障碍提醒、展馆导览语音助手。,做一个浏览器版“拍照识别 + 语音播报”原型：上传图片，AI 识别物品并用中文生成简短提醒。,图像识别、物体检测、OCR、语音合成、场景描述,识别 Demo、无障碍使用流程图、测试图片集、语音播报样例、伦理与隐私说明,当 AI 看错障碍物或钱币时，谁来承担风险？无障碍工具应该怎样提示“不确定”？,你能在学校里找到 5 个“看不清就很麻烦”的场景吗？哪些最适合先做成 Demo？,课堂版不要一开始做全功能，先选一个高频任务，比如菜单朗读或楼道障碍提醒，并设计“低置信度不乱说”的提示。,高,5,5,高,https://www.science-on-stage.eu/project/ai-stem-education-and-challenge；https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_turkiye_see4me_poster.pdf；https://www.youtube.com/watch?v=ifyPHRpkrjs,1,40,/images/cards/see4me.jpg,Science on Stage 官方项目海报截图，展示 See4me 的视觉辅助功能、Raspberry Pi 识别场景和语音反馈模块,官方项目海报：https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_turkiye_see4me_poster.pdf,官方公开项目海报，课堂引用；需避免商用传播,已确认,竖版项目海报，包含钱币识别、物体识别、障碍提醒和果蔬新鲜度分析模块
FeelosophAI,从画作和肢体线索理解情绪的 AI 支持工具,2025,AI in STEM Challenge 2025（Science on Stage Europe）决赛入围项目,高中可改造,"心理健康, 特殊教育, 情绪识别, 多模态AI, 伦理设计",当孩子不容易用语言表达感受时，AI 能不能帮老师读懂画作和动作里的情绪信号？,特教老师、心理健康社团、陪伴自闭症儿童的家长和设计情绪表达工具的学生团队,一些自闭症儿童或不善表达的学生很难直接说出自己的情绪，老师和家长需要更温和的观察线索，但不能把 AI 当成诊断医生。,官方项目页说明，希腊 Anatolia College + 1st EKFE of Heraklion 团队探索用 AI 分析儿童画作和肢体语言，帮助识别自闭症儿童的情绪表达信号。,情绪涂鸦日记、班级匿名心情看板、作品情绪标签助手、校园心理活动反馈工具、故事角色情绪分析器。,做一个“情绪表达支持卡”原型：上传一张画或选择动作线索，AI 只生成可能情绪和追问建议，不输出医学诊断。,图像理解、姿态/动作线索分析、文本生成、多模态解释、风险提示,情绪支持 Demo、样例画作集、AI 追问卡片、隐私同意说明、误判边界清单,AI 什么时候是在帮助沟通，什么时候可能越界成贴标签？情绪数据应该如何取得同意和保护隐私？,如果你要设计一个“不会评判人”的情绪工具，它应该说什么、不该说什么？,把项目定位成表达支持，不要做诊断；课堂数据用自制样例或公开授权素材，避免收集真实敏感心理数据。,高,5,5,高,https://www.science-on-stage.eu/project/ai-stem-education-and-challenge；https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_greece_feelosophai_poster.pdf；https://www.youtube.com/watch?v=Cx5bb9TPiik,1,41,/images/cards/feelosophai.jpg,Science on Stage 官方项目海报截图，展示 FeelosophAI 的情绪识别流程、图像/肢体线索和支持自闭症儿童沟通的应用构想,官方项目海报：https://www.science-on-stage.eu/sites/sons-eu/files/2025-06/ai-challenge_greece_feelosophai_poster.pdf,官方公开项目海报，课堂引用；需避免商用传播,已确认,竖版项目海报，包含情绪图标、AI 流程和儿童沟通支持场景，需突出伦理边界
CakewordAI,把身边物品变成多语言词汇贴纸,2026,Product Hunt 2026-06-13 今日项目,初中 / 高中可改造,"教育公平, 语言学习, 计算机视觉, 隐私保护, 儿童科技",把手机对准杯子、玩偶或校牌，AI 能不能立刻把真实世界变成外语单词卡？,学外语的学生、双语家庭、低龄学习者、移民家庭和语言老师,背单词常常脱离真实场景，孩子和初学者很难把词汇和身边物品联系起来；儿童应用还需要特别注意账号、广告和数据收集问题。,公开 Product Hunt 页面说明 CakewordAI 使用 100% 端侧 AI：孩子用摄像头指向物品，系统把物品裁成贴纸，说出目标语言名称，并加入 Word Dex 词汇库。学生版可以用图像识别、物体分割、翻译和语音合成把校园物品变成可复习的多语言词汇卡。,校园多语言寻物词典、博物馆/校园导览词汇贴纸、家乡方言物品卡、学科实验器材双语词库。,做一个“拍照识物词汇卡”Demo：上传或拍摄物品图片，AI 识别物品，生成中英/多语名称、发音按钮、例句和复习清单。,图像识别、物体分割、机器翻译、语音合成、间隔复习,词汇卡网页原型、Word Dex 词库、校园寻物任务单、隐私设计说明、演示视频,如果应用给孩子使用，哪些数据应该只在本地处理？什么时候必须取得家长或学校同意？,你在学校里最想把哪些物品变成“会说话的单词卡”？它适合学英语、日语，还是本地方言？,先从 10 个校园物品做起，不要一开始追求所有语言；课堂版可以先用上传图片代替实时摄像头，并明确不保存学生照片。,中,4,3,高,https://www.producthunt.com/products/cakewordai-snap-learn；https://apps.apple.com/de/app/cakeword-snap-learn/id6775628982,1,42,/images/cards/cakewordai.png,CakewordAI App Store 页面截图，展示应用图标和用真实物品生成词汇贴纸的手机界面,Apple App Store 页面截图：https://apps.apple.com/de/app/cakeword-snap-learn/id6775628982,公开应用商店截图，课堂引用；需避免商用传播,已确认,手机拍摄校园物品，物体被裁成贴纸并显示多语言名称、发音按钮和词汇收集进度
Avatars in ElevenCreative,把讲稿变成会说话的 AI 课程主持人,2026,Product Hunt 2026-06-13 今日项目；ElevenLabs 官方博客 2026-06-11 发布,初中 / 高中可改造,"教育公平, 视频表达, AI生成媒体, 语音合成, 媒体伦理",只写讲稿、选择头像和声音，AI 能不能帮学生做出多语言讲解视频？,需要做课程讲解、社团宣传、校园新闻、项目路演或多语言说明视频的学生和老师,学生做视频常常卡在出镜、配音、重录和剪辑上；跨语言内容还需要重新录制，成本高，也容易忽略“这是不是 AI 生成”的透明标注。,Product Hunt 页面称它是 talking-head video 的专用入口；ElevenLabs 官方博客说明 Avatars 把语音模型和 lip-sync 模型放进同一界面，可从脚本、声音和头像生成视频，并支持可复用的视觉身份和 Flows 批量流程。学生版可以把讲稿生成、配音、头像视频和字幕翻译串起来。,校园新闻 AI 主持人、历史人物讲解视频、实验安全讲解员、社团招新多语言视频、虚拟吉祥物导览。,做一个“AI 主持人视频脚本工作台”：输入主题后生成 30 秒讲稿、字幕、分镜和 AI 生成标识；可用现成素材或模拟视频预览完成课堂展示。,脚本生成、语音合成、头像生成、口型同步、字幕翻译、批量工作流,短视频脚本、头像主持人样片或分镜、字幕文件、AI 生成披露标签、媒体伦理说明,AI 主持人会让知识更容易理解，还是让观众误以为“真人说过”？什么时候必须明显标注？,如果学校允许你做一个虚拟主持人，你会让它讲什么？哪些人脸、声音或身份不应该被随便复刻？,课堂版优先使用虚拟角色或自己授权的素材，不使用同学照片做头像；把“AI 生成/模拟演示”写在片头或片尾。,高,4,5,高,https://www.producthunt.com/products/avatars-in-elevencreative；https://elevenlabs.io/blog/introducing-avatars,1,43,/images/cards/elevencreative-avatars.webp,ElevenLabs 官方博客媒体图，显示 ElevenCreative Avatars 发布视觉,ElevenLabs 官方博客媒体：https://elevenlabs.io/blog/introducing-avatars,官方公开博客媒体，课堂引用；需避免商用传播,已确认,橙色渐变发布图上写着 Introducing Avatars，用来表现 AI 头像视频入口
Prometheus by Firecrawl,会写采集脚本的 AI 网络资料调查员,2026,Product Hunt 2026-06-13 今日项目,高中可改造,"创业工具, 数据采集, AI代理, 研究工具, 信息素养",只用一句话说清想要什么数据，AI 能不能自己写脚本、跑样例、定期更新？,做研究、竞赛资料收集、社团运营分析、市场观察或新闻监测的学生团队,学生项目常需要从多个网页收集信息，但手工复制容易漏，爬虫代码又脆弱；网页结构一变，数据表就可能断掉。,Product Hunt 与 Firecrawl 专页说明 Prometheus 能把自然语言数据需求转成 Firecrawl collector，生成可复现的 SDK 代码和样例数据，也可以托管为定时运行并在页面变化时自动维护。学生版可以把“找资料”变成带来源、字段和更新频率的数据采集任务。,竞赛信息自动收集器、环保新闻观察表、校园活动日历采集器、奖学金/夏校机会追踪器、产品价格变化监测。,做一个“资料采集任务生成器”：学生输入想追踪的主题和字段，AI 生成采集计划、来源清单、表格字段和一份可运行或可模拟的样例数据。,网页检索、结构化抽取、代码生成、定时任务、数据清洗、来源引用,采集任务说明、样例数据表、字段字典、来源引用清单、趋势图或看板,AI 自动采集来的数据怎样验证？什么时候不能抓取别人的页面或个人信息？,如果你要持续追踪一个真实问题，比如校门口交通、竞赛报名或气候新闻，最该固定哪些字段？,先用公开、允许访问的页面和少量字段做 Demo；每个结果都保留来源链接，不把“AI 找到”当成已经验证。,高,4,5,高,https://www.producthunt.com/products/extract-by-firecrawl；https://www.firecrawl.dev/prometheus；https://www.firecrawl.dev/,1,44,/images/cards/prometheus-firecrawl.png,Firecrawl Prometheus 专页截图，展示 Prometheus 标题和网页数据采集代理入口,项目官网截图：https://www.firecrawl.dev/prometheus,公开项目官网截图，课堂引用；需避免商用传播,已确认,黑色页面中橙色 Prometheus 标题，象征把网络资料收集变成可运行的数据采集任务
Qursor,让 AI 看懂你指的是页面哪一个按钮,2026,Product Hunt 2026-06-12 近期热门项目,初中 / 高中可改造,"创业工具, AI协作, 前端设计, 反馈管理, 信息表达",和 AI 说“改这个按钮”太模糊，能不能直接把按钮的选择器、字体、颜色和修改意见一起发给它？,做网页、App、海报站点或社团官网的学生开发者、设计同学、老师和项目评审者,视觉反馈经常说不清楚：截图里圈了一个地方，AI 可能找错元素；人工解释样式、间距和颜色也很耗时。,Product Hunt 与官网资料显示 Qursor 是 Chrome 扩展，可让用户指向页面元素，复制结构化、代码感知的上下文，包括 selectors、classes、styles、fonts、colors 和注释，让 AI agent 精确知道要改哪里。学生版可以把网页评审、无障碍检查和 AI 修改建议结合起来。,校园网站反馈标注器、班级作品互评工具、无障碍 UI 检查助手、网页组件采集和改造练习台。,做一个“页面标注给 AI”Demo：点击页面元素后生成元素信息 JSON、中文修改意见和给 AI 的修改提示词，再展示前后对比。,DOM 元素识别、样式抽取、结构化提示词、组件导出、AI 修改建议,网页标注原型、元素上下文 JSON、AI 修改提示词、前后对比截图、反馈规则清单,给 AI 的上下文越多越好吗？页面里可能包含哪些不该复制给 AI 的隐私信息？,如果让同学帮你改网页，最容易说不清楚的是颜色、间距、文字，还是布局？,课堂版不必做完整浏览器插件，可以先在一个本地网页里实现点击元素、读取样式、生成提示词这三步。,中高,3,4,高,https://www.producthunt.com/products/qursor；https://qursor.xyz/,1,45,/images/cards/qursor.png,Qursor 官网截图，展示用可视化标注把页面元素上下文交给 AI 的产品界面,项目官网截图：https://qursor.xyz/,公开项目官网截图，课堂引用；需避免商用传播,已确认,网页按钮被框选并附带注释面板，展示 selectors、字体、颜色和 AI-ready context
Meet Warren 3.0,用 AI 对话做一张未来生活预算路线图,2026,Product Hunt 2026-06-12 近期热门项目,高中可改造,"创业工具, 财商教育, 个人规划, AI代理, 数据可视化",如果你想知道大学生活费、社团预算或未来储蓄目标够不够，AI 能不能用对话帮你推演？,准备独立生活、做项目预算、学习财商或规划长期目标的高中生和家庭用户,很多人不知道怎样把收入、支出、目标和风险放进同一张计划里；直接问通用聊天机器人又容易缺少假设、边界和解释。,Product Hunt 称 Meet Warren 是 voice-supported AI financial planning partner；官网说明 Warren 通过自然语音对话了解目标，生成长期财务计划，支持 what-if 问答、可视化目标和相关变化提醒。学生版应定位为预算教育和情景模拟，而不是投资或理财建议。,大学生活预算模拟器、社团活动预算助手、零花钱目标计划、公益项目资金使用模拟、毕业旅行预算规划。,做一个“未来预算对话助手”：通过文字或语音问答收集目标、收入和支出，生成预算表、时间线、假设说明和情景对比图。,语音/文本对话、信息抽取、情景模拟、解释生成、图表可视化、风险提示,预算计划表、情景对比图、假设清单、风险提示卡、非理财建议声明,AI 做金钱建议时，哪些内容必须提示“不是专业理财建议”？哪些决定应该交给人和家长讨论？,如果你要规划一个真实目标，比如电脑、比赛、旅行或大学生活费，你最不确定的变量是什么？,课堂版只做教育模拟，不连接真实银行账户；用虚构数据练习预算、假设和解释，避免给出投资指令。,中高,4,4,高,https://www.producthunt.com/products/underpay；https://meetwarren.co.uk/,1,46,/images/cards/meet-warren.png,Meet Warren 官网首屏截图，展示 AI 财务规划产品的手机界面和长期计划主张,项目官网截图：https://meetwarren.co.uk/,公开项目官网截图，课堂引用；需避免商用传播,已确认,深色官网首屏、手机里的目标计划卡片和围绕未来预算的问题气泡
StayWoke,防疲劳驾驶的 AI 叫醒员,2025,Technovation Girls 2025 Beginner Division Grand Prize Winner,Beginner Division，学生具体年级未公开,"交通安全, 计算机视觉, 语音交互",如果司机开始犯困，手机能不能先看出来、再用声音把他叫醒？,夜间或长途驾驶者、校车和家庭出行场景中的乘客,疲劳驾驶很难被本人及时察觉，普通提醒器不能根据真实状态发出预警。,用面部识别/计算机视觉观察闭眼、打哈欠等疲劳信号，再结合语音交互发出实时提醒。,校园晚自习接送安全提醒、学习久坐犯困提醒、骑行头盔疲劳/分心提醒。,做出一个摄像头检测眨眼或低头状态，并用语音/弹窗提醒的安全小助手。,计算机视觉、疲劳状态识别、语音提醒、人机交互,摄像头识别 Demo、疲劳状态规则表、提醒前后对比视频,AI 什么时候应该主动打断用户？如果误报会带来什么后果？,你见过哪些“人已经累了但自己没发现”的场景？除了开车，还能保护谁？,先从一个可观察动作开始，比如闭眼超过 2 秒或头部低垂，不要一开始就判断复杂情绪。,中,5,3,高,https://technovationchallenge.org/results/2025-season/；https://youtu.be/tdDXUjzgRpw,1,47,/images/cards/staywoke-technovation.jpg,StayWoke 官方 pitch 视频缩略图，展示防疲劳驾驶 AI 应用的项目画面,Technovation 官方结果页嵌入 pitch 视频缩略图：https://youtu.be/tdDXUjzgRpw,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,夜间车内、摄像头观察眼睛状态、AI 语音提醒司机保持清醒
Azolla Care,让水生饲料植物自己开口求助,2025,Technovation Girls 2025 Senior Division Finalist Team,Senior Division，学生具体年级未公开,"智慧农业, IoT, 可持续饲料",如果植物状态变差前能先报警，农场是不是能少浪费很多饲料？,养殖户、学校农场、关注低成本动物饲料的农业社群,Azolla 等有机饲料植物需要合适环境，人工巡查难以及时发现水质或生长异常。,结合传感器数据和 AI 判断植物环境风险，提醒补光、换水或调整养护条件。,班级水培植物 AI 管家、校园菜园环境预警、宠物植物自动养护助手。,做出一个读取温度/光照/水位数据并给出养护建议的植物监测面板。,传感器数据分析、异常检测、预测提醒、建议生成,IoT 数据面板、植物健康评分、自动提醒流程图,AI 农业项目应该先追求高产，还是先减少浪费和风险？,你身边有没有一种植物或小动物，需要每天靠经验照顾？哪些信号可以被记录成数据？,先用手动录入数据模拟传感器，再把“健康/危险”的判断规则做清楚，硬件可以后加。,中高,4,4,高,https://technovationchallenge.org/results/2025-season/；https://youtu.be/fpD--U8ADms,1,48,/images/cards/azolla-care.jpg,Azolla Care 官方 pitch 视频缩略图，展示 AI 与 IoT 养护 Azolla 植物的项目画面,Technovation 官方结果页嵌入 pitch 视频缩略图：https://youtu.be/fpD--U8ADms,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,水培植物、传感器读数、AI 面板提示光照和水质风险
Celia,扫一扫就懂的无麸质食品助手,2025,Technovation Girls 2025 Junior Division Finalist Team,Junior Division，学生具体年级未公开,"健康饮食, 食品安全, 聊天机器人",看不懂配料表时，AI 能不能帮乳糜泻用户判断这包零食能不能吃？,乳糜泻/麸质敏感人群、家长、学校食堂和外出旅行者,食品标签和条形码信息复杂，用户很难快速判断是否含麸质或存在交叉污染风险。,扫描食品标签和条形码，识别配料风险，并用聊天机器人解释注意事项和替代选择。,过敏原扫描助手、校园食堂安全菜单、运动队营养标签解释器。,做出一个拍照/输入配料后标出风险词，并生成可读建议的食品安全助手。,OCR、条形码/标签解析、风险分类、健康问答,食品扫描 Demo、风险词库、用户问答脚本、替代食品建议卡,AI 给健康建议时，哪些内容必须提示“不能替代医生”？,如果你有过敏或忌口，买零食时最怕漏看什么？AI 应该用什么方式提醒才不吓人？,先限定一种风险，比如麸质、花生或乳糖，建立小词库和清晰的“高/中/低风险”说明。,中,4,3,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=Dhg-79xOjb0,1,49,/images/cards/celia-technovation.jpg,Celia 官方 pitch 视频缩略图，展示扫描食品标签并获得无麸质建议的应用画面,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=Dhg-79xOjb0,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,手机扫描食品包装，AI 标出含麸质风险，并给出替代建议
Teen4STEAM,让女孩愿意坚持闯关的 STEAM 导师,2025,Technovation Girls 2025 Junior Division Finalist Team,Junior Division，学生具体年级未公开,"STEAM教育, 女孩科技, AI导师",如果 AI 像游戏教练一样陪你闯关，更多女孩会不会愿意继续学科技？,对 STEAM 有兴趣但缺少陪伴和榜样的女孩、社团老师、课后项目组织者,女孩进入 STEAM 学习时常缺少持续激励、同伴社群和个性化指导。,用 AI tutoring 给不同水平的学生生成挑战、提示和反馈，并通过社区机制鼓励持续完成任务。,班级 AI 科创任务地图、女生编程社群挑战、校园项目制学习陪跑助手。,做出一个能推荐挑战、给提示、记录徽章进度的 AI 学习任务 App。,学习路径推荐、提示生成、个性化反馈、任务分级,闯关式学习原型、徽章系统、AI 导师对话样例、用户成长记录,AI 导师怎样既帮忙又不直接给答案？游戏化会不会让学习变浅？,你在哪门课最需要一个“不会嘲笑你”的教练？它应该先给你提示还是先鼓励你？,把任务拆成 3 个等级：入门、挑战、创造。AI 只给下一步提示，让学生保留完成感。,中,4,3,高,https://technovationchallenge.org/results/2025-season/；https://youtu.be/HVSMlNcqZ1Q,1,50,/images/cards/teen4steam.jpg,Teen4STEAM 官方 pitch 视频缩略图，展示面向女孩的 AI STEAM 闯关学习应用,Technovation 官方结果页嵌入 pitch 视频缩略图：https://youtu.be/HVSMlNcqZ1Q,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,STEAM 挑战地图、女孩社群徽章、AI 导师给出下一步提示
BirdOMonitor,用鸟叫声给城市生态做体检,2025,Technovation Girls 2025 Junior Regional Honoree: Europe,Junior Division，学生具体年级未公开,"生物多样性, 声音识别, 城市生态",城市里鸟变少了，能不能让 AI 从声音里先听出来？,生态研究者、城市规划者、学校自然社团、社区环保志愿者,鸟类种群变化能反映生态健康，但人工长期观察成本高、覆盖范围有限。,用声音识别模型分析鸟叫，统计不同鸟类出现频率，帮助追踪种群变化和栖息地风险。,校园鸟鸣地图、社区生物多样性观察站、湿地声音监测小系统。,做出一个上传鸟鸣音频后识别类别、记录地点并生成趋势图的生态监测 Demo。,音频分类、物种识别、趋势分析、地图可视化,鸟鸣识别 Demo、校园采样地图、物种出现趋势图、环保建议海报,如果 AI 识别错了物种，生态判断会怎样被影响？数据采样地点要怎么选才公平？,你在学校附近听到过哪些自然声音？它们能不能变成一张“校园生态健康表”？,先用公开鸟鸣数据或手机录音做小样本测试，重点展示采样方法和趋势，而不只追求识别准确率。,中高,5,4,高,https://technovationchallenge.org/results/2025-season/；https://www.youtube.com/watch?v=XBgASSoEVl4,1,51,/images/cards/birdomonitor.jpg,BirdOMonitor 官方 pitch 视频缩略图，展示用 AI 监听鸟叫并追踪生物多样性的项目画面,Technovation 官方结果页嵌入 pitch 视频缩略图：https://www.youtube.com/watch?v=XBgASSoEVl4,官方公开 pitch 视频缩略图，课堂引用；来源授权需二次确认,待确认,树枝上的鸟、手机录音波形、AI 地图显示不同鸟类出现次数
